scenario,target,model,alpha_obs,lambda_unobs,row_type,seed,RMSE,MSE,MAE,R2
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,seed,41,4.803837,23.076853,3.674849,0.478269
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,seed,42,4.373575,19.128156,3.411386,0.503431
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,seed,43,5.307098,28.165288,3.907267,0.395949
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,seed,44,4.629511,21.432371,3.503807,0.477355
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,seed,45,4.328626,18.736999,3.419558,0.505555
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.0,mean_std,mean +/- std,4.688529 +/- 0.354439,22.107933 +/- 3.415524,3.583373 +/- 0.187628,0.472112 +/- 0.039914
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,seed,41,4.795731,22.999035,3.664086,0.480028
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,seed,42,4.367486,19.074936,3.404089,0.504813
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,seed,43,5.302968,28.121474,3.901689,0.396888
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,seed,44,4.625978,21.399672,3.500345,0.478152
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,seed,45,4.323085,18.689065,3.413946,0.506820
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,1.5,mean_std,mean +/- std,4.683050 +/- 0.354798,22.056836 +/- 3.415642,3.576831 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,seed,41,4.789273,22.937139,3.655226,0.481428
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,seed,42,4.362892,19.034826,3.398509,0.505854
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,seed,43,5.299896,28.088895,3.896275,0.397587
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,seed,44,4.623075,21.372825,3.497416,0.478807
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,seed,45,4.318341,18.648073,3.408833,0.507902
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,1.5,2.0,mean_std,mean +/- std,4.678696 +/- 0.355189,22.016351 +/- 3.416798,3.571252 +/- 0.186742,0.474315 +/- 0.040201
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,seed,41,4.817037,23.203849,3.691163,0.475398
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,seed,42,4.384184,19.221066,3.423354,0.501019
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,seed,43,5.313747,28.235910,3.917358,0.394434
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,seed,44,4.635203,21.485111,3.509201,0.476068
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,seed,45,4.337174,18.811083,3.427607,0.503600
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,0.5,mean_std,mean +/- std,4.697469 +/- 0.353817,22.191403 +/- 3.414950,3.593737 +/- 0.188678,0.470104 +/- 0.039667
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,seed,41,4.808638,23.122997,3.680953,0.477226
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,seed,42,4.377339,19.161095,3.415734,0.502576
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,seed,43,5.309465,28.190420,3.910981,0.395410
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,seed,44,4.631581,21.451541,3.505809,0.476887
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,seed,45,4.331781,18.764330,3.422614,0.504834
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.0,mean_std,mean +/- std,4.691761 +/- 0.354200,22.138077 +/- 3.415168,3.587218 +/- 0.188009,0.471386 +/- 0.039820
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,seed,41,4.801635,23.055695,3.671961,0.478747
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,seed,42,4.371887,19.113399,3.409395,0.503814
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,seed,43,5.306031,28.153970,3.905537,0.396192
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,seed,44,4.628559,21.423555,3.502882,0.477569
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,seed,45,4.327151,18.724238,3.418100,0.505892
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,1.5,mean_std,mean +/- std,4.687053 +/- 0.354554,22.094171 +/- 3.415754,3.581575 +/- 0.187448,0.472443 +/- 0.039958
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,seed,41,4.795730,22.999031,3.664085,0.480028
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,seed,42,4.367486,19.074933,3.404089,0.504813
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,seed,43,5.302968,28.121471,3.901689,0.396889
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,seed,44,4.625978,21.399668,3.500345,0.478152
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,seed,45,4.323085,18.689062,3.413946,0.506820
space_extrap_fixed850,Target_Space100,DLINEAR + differentiable_FRK,2.0,2.0,mean_std,mean +/- std,4.683049 +/- 0.354798,22.056833 +/- 3.415642,3.576831 +/- 0.187279,0.473340 +/- 0.040060
space_extrap_fixed850,Target_Space100,STDK,,,seed,41,4.584719,21.019651,3.588671,0.246284
space_extrap_fixed850,Target_Space100,STDK,,,seed,42,4.576830,20.947369,3.574204,0.154588
space_extrap_fixed850,Target_Space100,STDK,,,seed,43,5.023541,25.235968,3.957166,-0.057220
space_extrap_fixed850,Target_Space100,STDK,,,seed,44,5.271959,27.793552,3.993041,0.023257
space_extrap_fixed850,Target_Space100,STDK,,,seed,45,4.337661,18.815306,3.436536,0.255772
space_extrap_fixed850,Target_Space100,STDK,,,mean_std,mean +/- std,4.758942 +/- 0.338879,22.762369 +/- 3.266255,3.709924 +/- 0.223225,0.124536 +/- 0.123484
